,L1_DAC_bNAC,L1_DAC_cNAC,L1_DLAC_cNAC,L1_HAC_bNAC,L1_HAC_cIR,L1_HAC_cNAC,L1_NGC-DA_bNAC,L1_NGC-DA_cAC,L1_NGC-DA_cNAC,L1_NGC-DA_cSTUT,L1_NGC-SA_cNAC,L1_SLAC_bNAC,L1_SLAC_cAC,L1_SLAC_cNAC
Lamp5,0.437037037037037,0.5037037037037038,0.8333333333333333,0.7391304347826086,0.3120772946859903,0.8454106280193237,0.6462962962962964,0.2814814814814815,0.9814814814814815,1.0,1.0,0.7264957264957266,0.5264957264957265,0.982905982905983
Vip,0.36296296296296293,0.36296296296296293,0.16666666666666666,0.08695652173913043,0.3314009661835749,0.06763285024154589,0.13703703703703704,0.31851851851851853,0.018518518518518517,0.0,0.0,0.042735042735042736,0.15042735042735042,0.017094017094017096
Sst,0.0,0.0,0.0,0.0,0.05217391304347826,0.0,0.049999999999999996,0.39999999999999997,0.0,0.0,0.0,0.0,0.32307692307692304,0.0
Sncg,0.06666666666666667,0.0,0.0,0.17391304347826086,0.30434782608695654,0.08695652173913043,0.16666666666666666,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0
