,L23_BP_bAC,L23_BP_bIR,L23_BP_bNAC,L23_BP_cAC,L23_BP_cNAC,L23_BP_dSTUT,L23_BTC_bAC,L23_BTC_bIR,L23_BTC_bNAC,L23_BTC_cAC,L23_BTC_cNAC,L23_ChC_cAC,L23_ChC_cNAC,L23_ChC_dNAC,L23_DBC_bAC,L23_DBC_bIR,L23_DBC_bNAC,L23_DBC_cAC,L23_LBC_bAC,L23_LBC_bNAC,L23_LBC_cAC,L23_LBC_cNAC,L23_LBC_cSTUT,L23_LBC_dNAC,L23_MC_bAC,L23_MC_bNAC,L23_MC_cAC,L23_MC_cNAC,L23_MC_dNAC,L23_NBC_bAC,L23_NBC_bNAC,L23_NBC_cAC,L23_NBC_cIR,L23_NBC_cNAC,L23_NBC_dNAC,L23_NGC_bNAC,L23_NGC_cAC,L23_NGC_cNAC,L23_NGC_cSTUT,L23_SBC_bNAC,L23_SBC_cAC,L23_SBC_dNAC,L4_BP_bAC,L4_BP_bIR,L4_BP_bNAC,L4_BP_cAC,L4_BP_cNAC,L4_BP_dSTUT,L4_BTC_bAC,L4_BTC_bIR,L4_BTC_bSTUT,L4_BTC_cAC,L4_BTC_cNAC,L4_BTC_dNAC,L4_DBC_bAC,L4_DBC_bIR,L4_DBC_bNAC,L4_DBC_bSTUT,L4_DBC_cAC,L4_DBC_cIR,L4_DBC_cNAC,L4_LBC_cAC,L4_LBC_cNAC,L4_LBC_cSTUT,L4_LBC_dNAC,L4_LBC_dSTUT,L4_MC_bAC,L4_MC_bNAC,L4_MC_cAC,L4_MC_cNAC,L4_MC_dNAC,L4_NBC_cAC,L4_NBC_cIR,L4_NBC_cNAC,L4_NBC_dNAC,L4_SBC_bNAC,L4_SBC_cAC,L4_SBC_dNAC,L5_BP_bAC,L5_BP_bIR,L5_BP_bNAC,L5_BP_cAC,L5_BP_cNAC,L5_BP_dSTUT,L5_BTC_bAC,L5_BTC_cAC,L5_BTC_cNAC,L5_ChC_cAC,L5_ChC_cNAC,L5_ChC_dNAC,L5_DBC_bAC,L5_DBC_bIR,L5_DBC_bNAC,L5_DBC_bSTUT,L5_DBC_cAC,L5_DBC_cIR,L5_DBC_cNAC,L5_LBC_bAC,L5_LBC_cAC,L5_LBC_cIR,L5_LBC_cNAC,L5_LBC_cSTUT,L5_LBC_dNAC,L5_LBC_dSTUT,L5_MC_bAC,L5_MC_bIR,L5_MC_bSTUT,L5_MC_cAC,L5_MC_cNAC,L5_MC_cSTUT,L5_MC_dNAC,L5_NBC_bAC,L5_NBC_bIR,L5_NBC_bSTUT,L5_NBC_cAC,L5_NBC_cIR,L5_NBC_cNAC,L5_NBC_cSTUT,L5_NBC_dSTUT,L5_SBC_bNAC,L5_SBC_cAC,L5_SBC_dNAC,L6_BTC_bAC,L6_BTC_cAC,L6_BTC_cNAC,L6_ChC_cAC,L6_ChC_cNAC,L6_ChC_dNAC,L6_DBC_bAC,L6_DBC_bIR,L6_DBC_bNAC,L6_DBC_bSTUT,L6_DBC_cAC,L6_DBC_cIR,L6_DBC_cNAC,L6_LBC_bAC,L6_LBC_bIR,L6_LBC_bNAC,L6_LBC_bSTUT,L6_LBC_cNAC,L6_LBC_cSTUT,L6_MC_bAC,L6_MC_bIR,L6_MC_bNAC,L6_MC_bSTUT,L6_MC_cAC,L6_MC_cIR,L6_MC_cNAC,L6_NBC_bAC,L6_NBC_bIR,L6_NBC_bSTUT,L6_NBC_cAC,L6_NBC_cIR,L6_NBC_cNAC,L6_NBC_cSTUT,L6_NBC_dSTUT,L6_NGC_bNAC,L6_NGC_cAC,L6_NGC_cNAC,L6_NGC_cSTUT,L6_SBC_bNAC,L6_SBC_cAC,L6_SBC_dNAC
Vip,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6,0.29545454545454547,0.42742628992628995,0.31363636363636366,0.29545454545454547,0.3943181818181818,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5397727272727273,0.5965909090909091,0.5761363636363637,0.5397727272727273,0.36229946524064166,0.2462121212121212,0.28409090909090906,0.3962121212121212,0.09999999999999999,0.09166666666666666,0.4602272727272727,0.4602272727272727,0.45738636363636365,0.2534090909090909,0.24375,0.1,0.1,0.1,0.1,0.16,0.0,0.0,0.0,0.0,0.0,0.037227478403948994,0.03496503496503497,0.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.45454545454545453,0.45454545454545453,0.6,0.37854349951124144,0.37854349951124144,0.45454545454545453,0.45454545454545453,0.5272727272727272,0.6,0.583947583947584,0.583947583947584,0.583947583947584,0.583947583947584,0.583947583947584,0.583947583947584,0.4956592956592956,0.46255411255411255,0.5584415584415584,0.5896103896103896,0.6,0.6,0.46887052341597796,0.46887052341597796,0.45454545454545453,0.5247933884297521,0.5909090909090908,0.45454545454545453,0.42694805194805197,0.5376623376623376,0.5896103896103896,0.45454545454545453,0.45454545454545453,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.276010101010101,0.276010101010101,0.28888888888888886,0.0,0.0,0.0,0.41677131677131674,0.41677131677131674,0.43349772059449476,0.41677131677131674,0.41677131677131674,0.41677131677131674,0.32067522067522064,0.01682457327618618,0.01682457327618618,0.011579818031430936,0.0,0.0,0.0,0.0,0.3158177702320317,0.34735847902231604,0.3096491228070175,0.33181818181818185,0.26494057724957554,0.38026315789473686,0.26052631578947366,0.0,0.07207207207207207,0.0,0.0,0.0,0.0,0.0,0.0,0.2882882882882883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737861368456301,0.1391274213157236,0.033918406072106264,0.04277356103731816,0.007352941176470588,0.04264705882352941,0.023606216680220473,0.03856058552453239,0.034358904852263485,0.023606216680220473,0.023606216680220473,0.023606216680220473,0.012853528508177465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03763440860215054,0.03763440860215054,0.0
Lamp5,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909,0.011363636363636364,0.022727272727272728,0.03409090909090909,0.011363636363636364,0.02222222222222222,0.02222222222222222,0.0,0.045454545454545456,0.05681818181818182,0.022727272727272728,0.045454545454545456,0.04623440285204991,0.007575757575757576,0.015151515151515152,0.007575757575757576,0.0,0.0,0.017045454545454544,0.017045454545454544,0.022727272727272728,0.005681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02169888934594817,0.006993006993006994,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.06818181818181818,0.06818181818181818,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.08441558441558442,0.025974025974025972,0.006493506493506493,0.0,0.0,0.0743801652892562,0.0743801652892562,0.09090909090909091,0.04132231404958678,0.0,0.09090909090909091,0.12175324675324675,0.03896103896103896,0.006493506493506493,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10227272727272727,0.10227272727272727,0.0,0.0,0.0,0.0,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.0101010101010101,0.04533799533799534,0.04533799533799534,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.007017543859649122,0.007017543859649122,0.007017543859649122,0.011802232854864434,0.007017543859649122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022491349480968856,0.022491349480968856,0.0,0.0,0.0,0.0,0.01841736694677871,0.0457282913165266,0.01841736694677871,0.01841736694677871,0.01841736694677871,0.01841736694677871,0.01841736694677871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pvalb,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.425,0.55,0.5,0.35,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.125,0.0,0.225,0.125,0.3333333333333333,0.6666666666666666,0.5833333333333334,0.5166666666666667,0.39999999999999997,0.2833333333333333,0.0625,0.0625,0.0625,0.025,0.1,0.9,0.9,0.9,0.9,0.54,0.0,1.0,1.0,1.0,0.0,0.7692307692307693,0.9230769230769231,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.4,0.01881720430107527,0.01881720430107527,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.28571428571428575,0.37142857142857144,0.4,0.4,0.0,0.0,0.0,0.18181818181818182,0.36363636363636365,0.0,0.009740259740259738,0.22857142857142856,0.37142857142857144,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.7586206896551724,0.8333333333333334,0.1616161616161616,0.022727272727272724,0.48333333333333334,0.0,0.5555555555555556,0.8888888888888888,0.0,0.0,0.1009557945041816,0.0,0.0,0.0,0.2611749680715198,0.08038198360779007,0.08038198360779007,0.06989247311827958,0.7051282051282052,0.6891025641025642,0.7122015915119364,0.7179487179487181,0.003961516694963215,0.011884550084889643,0.021052631578947368,0.0,0.23687137755400736,0.4245614035087719,0.4807017543859649,0.20833333333333334,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.6944444444444445,0.8333333333333334,0.8333333333333334,0.0,0.0,0.8333333333333334,0.625,0.625,0.625,0.625,0.625,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.3441650853889943,0.2706356736242884,0.42994939911448454,0.3853573687539532,0.626605814739689,0.6212305611899932,0.14468125960061443,0.016129032258064516,0.1054147465437788,0.14468125960061443,0.14468125960061443,0.14468125960061443,0.19349210763281952,0.625,0.625,0.625,0.625,0.625,0.6650862068965517,0.7185344827586206,0.7051724137931035,0.625,0.625,0.625,0.7586206896551724,0.48756720430107525,0.48756720430107525,0.7586206896551724
Sst,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.0,0.17045454545454544,0.11931818181818182,0.11363636363636363,0.17045454545454544,0.11931818181818182,0.3111111111111111,0.3111111111111111,0.0,0.2897727272727273,0.34659090909090906,0.17613636363636365,0.2897727272727273,0.25445632798573975,0.07954545454545454,0.11742424242424242,0.07954545454545454,0.0,0.041666666666666664,0.3977272727272727,0.3977272727272727,0.39488636363636365,0.1534090909090909,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09152612093788565,0.03496503496503497,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.45454545454545453,0.45454545454545453,0.0,0.5290811339198436,0.5290811339198436,0.45454545454545453,0.45454545454545453,0.22727272727272727,0.0,0.3181818181818181,0.3181818181818181,0.3181818181818181,0.3181818181818181,0.3181818181818181,0.3181818181818181,0.3181818181818181,0.44112554112554114,0.12987012987012986,0.032467532467532464,0.0,0.0,0.44159779614325073,0.44159779614325073,0.45454545454545453,0.25206611570247933,0.045454545454545456,0.45454545454545453,0.4366883116883117,0.1948051948051948,0.032467532467532464,0.45454545454545453,0.45454545454545453,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.2413793103448276,0.16666666666666666,0.3746632996632996,0.49503367003367,0.17222222222222222,0.8888888888888888,0.4074074074074074,0.1111111111111111,0.3887766554433221,0.3887766554433221,0.29339632888019984,0.3887766554433221,0.3887766554433221,0.3887766554433221,0.26340415650760474,0.705257287515352,0.705257287515352,0.7578990901571546,0.2128205128205128,0.22884615384615384,0.20574712643678159,0.19999999999999998,0.47616487455197126,0.44779286926994905,0.46929824561403505,0.4604731525784157,0.3613836686636873,0.08991228070175439,0.15350877192982454,0.7083333333333333,0.6944444444444444,0.7685185185185185,0.7685185185185185,0.7685185185185185,0.28703703703703703,0.16666666666666666,0.16666666666666666,0.5925925925925926,0.8888888888888888,0.16666666666666666,0.375,0.375,0.375,0.375,0.375,0.2413793103448276,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.5833333333333334,0.5216200964889435,0.47750244943011994,0.466977651275564,0.501449504532996,0.30721771467207576,0.27729885057471265,0.30707169964760095,0.3855200144573958,0.3340494262221017,0.30707169964760095,0.30707169964760095,0.30707169964760095,0.27054963809773075,0.375,0.375,0.375,0.375,0.375,0.33491379310344827,0.2814655172413793,0.2948275862068966,0.375,0.375,0.375,0.2413793103448276,0.4694220430107527,0.4694220430107527,0.2413793103448276
nan,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023809523809523807,0.0,0.0,0.0,0.0,0.0030303030303030303,0.0030303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01111111111111111,0.01111111111111111,0.01111111111111111,0.0,0.0,0.0,0.0037037037037037034,0.0037037037037037034,0.0037037037037037034,0.0037037037037037034,0.0037037037037037034,0.0037037037037037034,0.0037037037037037034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015789473684210527,0.014035087719298244,0.014035087719298244,0.015789473684210527,0.003508771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sncg,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033936651583710412,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.005376344086021506,0.005376344086021506,0.0,0.0,0.0,0.0,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.018018018018018018,0.009523809523809523,0.0,0.0,0.0,0.0,0.012121212121212121,0.012121212121212121,0.0,0.0,0.0,0.0,0.004870129870129869,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.07432659932659932,0.09284511784511784,0.04444444444444444,0.1111111111111111,0.037037037037037035,0.0,0.0635301968635302,0.0635301968635302,0.04122832509929284,0.0635301968635302,0.0635301968635302,0.0635301968635302,0.026826826826826827,0.07527508333959947,0.07527508333959947,0.07857733664185276,0.0,0.0,0.0,0.0,0.07598566308243727,0.0652258370424754,0.07368421052631578,0.07485380116959064,0.021014902848519146,0.0,0.0,0.08333333333333333,0.09234234234234234,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.018518518518518517,0.0,0.0,0.11011011011011011,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.015521325544765662,0.028239926498660733,0.01033101412608054,0.011596036263967952,0.0,0.0,0.006223457124785398,0.014062076443480618,0.007759555435077257,0.006223457124785398,0.006223457124785398,0.006223457124785398,0.004687358814493539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005376344086021506,0.005376344086021506,0.0
Serpinf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033783783783783786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0045045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006006006006006006,0.006006006006006006,0.006006006006006006,0.006006006006006006,0.006006006006006006,0.006006006006006006,0.003003003003003003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001422475106685633,0.0,0.0,0.0,0.0,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003179650238473768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
